# time,f b 0 dist,f b 0 angle,f b 0 Ddist,f b 0 Dangle,f b l 10 dist,f b l 10 angle,f b l 10 Ddist,f b l 10 Dangle,f b l 20 dist,f b l 20 angle,f b l 20 Ddist,f b l 20 Dangle,f b l 30 dist,f b l 30 angle,f b l 30 Ddist,f b l 30 Dangle,f b l 40 dist,f b l 40 angle,f b l 40 Ddist,f b l 40 Dangle,f b l 50 dist,f b l 50 angle,f b l 50 Ddist,f b l 50 Dangle,f b r 10 dist,f b r 10 angle,f b r 10 Ddist,f b r 10 Dangle,f b r 20 dist,f b r 20 angle,f b r 20 Ddist,f b r 20 Dangle,f b r 30 dist,f b r 30 angle,f b r 30 Ddist,f b r 30 Dangle,f b r 40 dist,f b r 40 angle,f b r 40 Ddist,f b r 40 Dangle,f b r 50 dist,f b r 50 angle,f b r 50 Ddist,f b r 50 Dangle,f c dist,f c angle,f c Ddist,f c Dangle,f c b dist,f c b angle,f c b Ddist,f c b Dangle,f c t dist,f c t angle,f c t Ddist,f c t Dangle,f g l b dist,f g l b angle,f g l b Ddist,f g l b Dangle,f g l t dist,f g l t angle,f g l t Ddist,f g l t Dangle,f g r b dist,f g r b angle,f g r b Ddist,f g r b Dangle,f g r t dist,f g r t angle,f g r t Ddist,f g r t Dangle,f l 0 dist,f l 0 angle,f l 0 Ddist,f l 0 Dangle,f l b dist,f l b angle,f l b Ddist,f l b Dangle,f l b 10 dist,f l b 10 angle,f l b 10 Ddist,f l b 10 Dangle,f l b 20 dist,f l b 20 angle,f l b 20 Ddist,f l b 20 Dangle,f l b 30 dist,f l b 30 angle,f l b 30 Ddist,f l b 30 Dangle,f l t dist,f l t angle,f l t Ddist,f l t Dangle,f l t 10 dist,f l t 10 angle,f l t 10 Ddist,f l t 10 Dangle,f l t 20 dist,f l t 20 angle,f l t 20 Ddist,f l t 20 Dangle,f l t 30 dist,f l t 30 angle,f l t 30 Ddist,f l t 30 Dangle,f p l b dist,f p l b angle,f p l b Ddist,f p l b Dangle,f p l c dist,f p l c angle,f p l c Ddist,f p l c Dangle,f p l t dist,f p l t angle,f p l t Ddist,f p l t Dangle,f p r b dist,f p r b angle,f p r b Ddist,f p r b Dangle,f p r c dist,f p r c angle,f p r c Ddist,f p r c Dangle,f p r t dist,f p r t angle,f p r t Ddist,f p r t Dangle,f r 0 dist,f r 0 angle,f r 0 Ddist,f r 0 Dangle,f r b dist,f r b angle,f r b Ddist,f r b Dangle,f r b 10 dist,f r b 10 angle,f r b 10 Ddist,f r b 10 Dangle,f r b 20 dist,f r b 20 angle,f r b 20 Ddist,f r b 20 Dangle,f r b 30 dist,f r b 30 angle,f r b 30 Ddist,f r b 30 Dangle,f r t dist,f r t angle,f r t Ddist,f r t Dangle,f r t 10 dist,f r t 10 angle,f r t 10 Ddist,f r t 10 Dangle,f r t 20 dist,f r t 20 angle,f r t 20 Ddist,f r t 20 Dangle,f r t 30 dist,f r t 30 angle,f r t 30 Ddist,f r t 30 Dangle,f t 0 dist,f t 0 angle,f t 0 Ddist,f t 0 Dangle,f t l 10 dist,f t l 10 angle,f t l 10 Ddist,f t l 10 Dangle,f t l 20 dist,f t l 20 angle,f t l 20 Ddist,f t l 20 Dangle,f t l 30 dist,f t l 30 angle,f t l 30 Ddist,f t l 30 Dangle,f t l 40 dist,f t l 40 angle,f t l 40 Ddist,f t l 40 Dangle,f t l 50 dist,f t l 50 angle,f t l 50 Ddist,f t l 50 Dangle,f t r 10 dist,f t r 10 angle,f t r 10 Ddist,f t r 10 Dangle,f t r 20 dist,f t r 20 angle,f t r 20 Ddist,f t r 20 Dangle,f t r 30 dist,f t r 30 angle,f t r 30 Ddist,f t r 30 Dangle,f t r 40 dist,f t r 40 angle,f t r 40 Ddist,f t r 40 Dangle,f t r 50 dist,f t r 50 angle,f t r 50 Ddist,f t r 50 Dangle,g l dist,g l angle,g l Ddist,g l Dangle,g r dist,g r angle,g r Ddist,g r Dangle,l b dist,l b angle,l b Ddist,l b Dangle,l l dist,l l angle,l l Ddist,l l Dangle,l r dist,l r angle,l r Ddist,l r Dangle,l t dist,l t angle,l t Ddist,l t Dangle,F dist,F angle,F Ddist,F Dangle,G dist,G angle,G Ddist,G Dangle,L dist,L angle,L Ddist,L Dangle
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,92.8,55,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.3,45,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,70.8,38,NAN,NAN,62.8,28,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,69.4,56,NAN,NAN,53.5,43,NAN,NAN,42.5,23,NAN,NAN,70.8,31,NAN,NAN,90,52,NAN,NAN,76.7,38,NAN,NAN,83.1,43,NAN,NAN,90,48,NAN,NAN,55.7,3,NAN,NAN,66,24,NAN,NAN,62.8,16,NAN,NAN,60.9,7,NAN,NAN,3.6,-34,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,13.2,-9,0,0,23.1,-5,0,0,33.1,-3,NAN,NAN,42.9,-3,NAN,NAN,53,-2,NAN,NAN,NAN,NAN,NAN,NAN,66.7,34,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,75.9,88,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,77.5,80,NAN,NAN,79,73,NAN,NAN,83.1,67,NAN,NAN,87.4,60,NAN,NAN,92.8,55,NAN,NAN,37,85,NAN,NAN,70.8,88,NAN,NAN,4.3,45,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,70.8,38,NAN,NAN,62.8,28,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,69.4,56,NAN,NAN,53.5,43,NAN,NAN,42.5,23,NAN,NAN,70.8,31,NAN,NAN,90,52,NAN,NAN,76.7,38,NAN,NAN,83.1,43,NAN,NAN,90,48,NAN,NAN,55.7,3,NAN,NAN,66,24,NAN,NAN,62.8,16,NAN,NAN,60.9,7,NAN,NAN,3.6,-34,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,13.2,-9,0,0,23.1,-5,0,0,33.1,-3,NAN,NAN,42.9,-3,NAN,NAN,53,-2,NAN,NAN,NAN,NAN,NAN,NAN,66.7,34,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,62.8,39,NAN,NAN,55.1,45,NAN,NAN,48.4,53,NAN,NAN,43.4,64,NAN,NAN,40,77,NAN,NAN,NAN,NAN,NAN,NAN,70.8,33,NAN,NAN,79,29,NAN,NAN,88.2,26,NAN,NAN,97.5,24,NAN,NAN,107,22,NAN,NAN,48.9,0,NAN,NAN,59.7,35,NAN,NAN,59.7,-35,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,102,4,NAN,NAN,102,-4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,24,57,NAN,NAN,12.9,0,0,0,24,-57,0,0,87.4,13,NAN,NAN,84.8,0,NAN,NAN,87.4,-13,NAN,NAN,107,0,NAN,NAN,107,19,NAN,NAN,107,5,NAN,NAN,109,11,NAN,NAN,111,16,NAN,NAN,107,-19,NAN,NAN,107,-5,NAN,NAN,109,-11,NAN,NAN,111,-16,NAN,NAN,62.8,-39,NAN,NAN,55.1,-45,NAN,NAN,48.4,-53,NAN,NAN,43.4,-64,NAN,NAN,40,-77,NAN,NAN,NAN,NAN,NAN,NAN,70.8,-33,NAN,NAN,79,-29,NAN,NAN,88.2,-26,NAN,NAN,97.5,-24,NAN,NAN,107,-22,NAN,NAN,NAN,NAN,NAN,NAN,102,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,102,90,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.8,-69,0,0,7.8,58,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.5,-5,0,0,34.1,-89,NAN,NAN,13.1,-55,0,0,21.8,-72,0,0,31.2,-79,NAN,NAN,34.1,79,NAN,NAN,13.1,45,-0,0,21.8,62,-0,0,31.2,69,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,38.9,83,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.5,-5,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.5,85,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,62.8,51,NAN,NAN,55.1,57,NAN,NAN,48.4,65,NAN,NAN,43.4,76,NAN,NAN,40,89,NAN,NAN,NAN,NAN,NAN,NAN,70.8,46,NAN,NAN,79,42,NAN,NAN,88.2,38,NAN,NAN,97.5,36,NAN,NAN,107,34,NAN,NAN,48.9,12,NAN,NAN,59.7,47,NAN,NAN,59.7,-23,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,102,16,NAN,NAN,102,8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,34.1,-84,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,24,69,0,0,12.9,12,0,0,24,-45,0,0,87.4,25,NAN,NAN,84.8,12,NAN,NAN,87.4,-1,NAN,NAN,107,12,NAN,NAN,107,31,NAN,NAN,107,17,NAN,NAN,109,23,NAN,NAN,111,28,NAN,NAN,107,-6,NAN,NAN,107,7,NAN,NAN,109,1,NAN,NAN,111,-4,NAN,NAN,62.8,-26,NAN,NAN,55.1,-33,NAN,NAN,48.4,-41,NAN,NAN,43.4,-52,NAN,NAN,40,-65,NAN,NAN,38.9,-79,NAN,NAN,70.8,-21,NAN,NAN,79,-17,NAN,NAN,88.2,-14,NAN,NAN,97.5,-12,NAN,NAN,107,-9,NAN,NAN,NAN,NAN,NAN,NAN,102,12,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,104,-78,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,38.9,-76,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.8,-50,0,0,7.8,76,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.5,13,0,0,34.1,-71,NAN,NAN,13.1,-37,0,0,21.8,-54,0,0,31.2,-61,NAN,NAN,NAN,NAN,NAN,NAN,13.1,63,-0,0,21.8,80,-0,0,31.2,87,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.5,13,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.6,-77,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,62.8,67,NAN,NAN,55.1,73,NAN,NAN,48.4,81,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,70.8,62,NAN,NAN,79,58,NAN,NAN,88.2,54,NAN,NAN,97.5,52,NAN,NAN,107,50,NAN,NAN,48.9,28,NAN,NAN,59.7,63,NAN,NAN,59.7,-7,NAN,NAN,NAN,NAN,NAN,NAN,7.8,-88,-0,0,102,32,NAN,NAN,102,24,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,34.1,-68,-0,0,NAN,NAN,NAN,NAN,21.8,-85,-0,0,31.2,-78,-0,0,24,85,0,0,12.9,28,0,0,24,-29,0,0,87.4,41,NAN,NAN,84.8,28,NAN,NAN,87.4,15,NAN,NAN,107,28,NAN,NAN,107,47,NAN,NAN,107,33,NAN,NAN,109,39,NAN,NAN,111,44,NAN,NAN,107,10,NAN,NAN,107,23,NAN,NAN,109,17,NAN,NAN,111,12,NAN,NAN,62.8,-10,NAN,NAN,55.1,-17,NAN,NAN,48.4,-25,NAN,NAN,43.4,-36,NAN,NAN,40,-49,NAN,NAN,38.9,-63,NAN,NAN,70.8,-5,NAN,NAN,79,-1,NAN,NAN,88.2,2,NAN,NAN,97.5,4,NAN,NAN,107,7,NAN,NAN,NAN,NAN,NAN,NAN,102,28,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,72.2,28,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,40,-83,NAN,NAN,38.9,-69,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.8,-44,0,0,7.8,83,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.5,20,0,0,34.1,-65,NAN,NAN,13.1,-30,0,0,21.8,-47,0,0,31.2,-55,NAN,NAN,NAN,NAN,NAN,NAN,13.1,69,-0,0,21.8,87,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.5,20,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.7,-70,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,62.8,71,NAN,NAN,55.1,77,NAN,NAN,48.4,86,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,70.8,66,NAN,NAN,79,62,NAN,NAN,88.2,58,NAN,NAN,97.5,56,NAN,NAN,107,54,NAN,NAN,48.9,32,NAN,NAN,59.7,67,NAN,NAN,59.7,-3,NAN,NAN,NAN,NAN,NAN,NAN,7.8,-84,-0,0,102,36,NAN,NAN,102,28,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,34.1,-64,NAN,NAN,NAN,NAN,NAN,NAN,21.8,-81,-0,0,31.2,-74,NAN,NAN,24,89,0,0,12.9,32,0,0,24,-25,0,0,87.4,46,NAN,NAN,84.8,32,NAN,NAN,87.4,19,NAN,NAN,107,32,NAN,NAN,107,51,NAN,NAN,107,38,NAN,NAN,109,43,NAN,NAN,111,48,NAN,NAN,107,14,NAN,NAN,107,27,NAN,NAN,109,22,NAN,NAN,111,16,NAN,NAN,62.8,-6,NAN,NAN,55.1,-13,NAN,NAN,48.4,-21,NAN,NAN,43.4,-32,NAN,NAN,40,-45,NAN,NAN,38.9,-59,NAN,NAN,70.8,-1,NAN,NAN,79,3,NAN,NAN,88.2,6,NAN,NAN,97.5,9,NAN,NAN,107,11,NAN,NAN,NAN,NAN,NAN,NAN,102,32,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,64.1,32,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,40,-87,NAN,NAN,38.9,-72,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.8,-47,0,0,7.8,80,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.5,16,0,0,34.1,-68,NAN,NAN,13.1,-33,0,0,21.8,-51,0,0,31.2,-58,NAN,NAN,NAN,NAN,NAN,NAN,13.1,66,-0,0,21.8,83,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.5,16,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.6,-74,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
